,length,breadth,area,lbr,chalk,ecc,b,g,r,class
0,7.444002014,1.824882162,11.08618331,0.247251838,1.033838273,0.96840657,66.33613945,96.63622225,104.666801,5
1,7.265940607,1.846925168,11.02797272,0.256919449,1.038373661,0.96569681,79.4358653,110.5516316,119.0356554,5
2,7.203638287,1.809954923,10.68961846,0.254682124,1.035105248,0.96623913,84.86238522,118.2486982,126.4052679,5
3,7.20513443,1.822320308,10.64843363,0.2553972,1.034444867,0.964344012,74.1530699,111.2377589,117.4373898,5
4,7.251489954,1.817063542,10.69314463,0.252128684,1.033490692,0.966657997,71.33431038,106.4465192,113.1439111,5
5,7.315923896,1.808277516,10.82564252,0.24933065,1.033131714,0.967874109,58.40101909,86.43385126,93.10077102,5
6,7.495205095,1.832316274,11.26344901,0.246047796,1.035734085,0.968866051,68.14473927,95.27501545,103.5555984,5
7,7.075498423,1.741731964,10.11627907,0.248623624,1.035573395,0.968037051,60.27159573,90.06979233,96.20852764,5
8,7.214797386,1.788885225,10.60225017,0.251092455,1.03665595,0.967255935,74.08425129,104.6983078,110.6355548,5
9,7.19053185,1.780487045,10.51234446,0.251189984,1.036325083,0.96706736,72.7811415,103.7206144,111.4385822,5
10,7.183797315,1.781148296,10.50078982,0.250665407,1.03558949,0.967423605,62.08160641,92.2177683,98.73745239,5
11,7.034738464,1.747901083,10.12068751,0.251152695,1.032731072,0.967300687,81.0960824,107.4322327,115.8810637,5
12,7.386713449,1.841476496,11.21783618,0.251302563,1.042624818,0.967333313,80.38012409,109.6722471,117.7664728,5
13,7.249718623,1.801698037,10.73568716,0.250496247,1.039254755,0.967605492,69.97679083,101.3664397,108.3808038,5
14,7.284481757,1.806026618,10.84374382,0.249530692,1.04095658,0.967862351,91.97726472,123.0406831,131.170126,5
15,7.447685367,1.845032965,11.28042044,0.249376671,1.036209546,0.967930176,85.2341488,113.8112107,121.1337753,5
16,7.115434493,1.770297229,10.30455462,0.252452912,1.034350899,0.966699331,64.25947052,95.17858727,101.5133068,5
17,7.127968462,1.788684772,10.40125783,0.254703232,1.033460195,0.966114022,59.29248877,86.49443193,92.83481169,5
18,6.93090791,1.757802151,9.986122175,0.256786189,1.03720559,0.965650434,66.17839836,97.98408817,104.7819172,5
19,7.253983843,1.787907052,10.63560417,0.249365343,1.037658377,0.967718542,58.14500745,87.8626467,94.55572479,5
