,length,breadth,area,lbr,chalk,ecc,b,g,r,class
0,4.712047187,1.922677006,7.247969823,0.435520382,1.02103502,0.889706131,91.89129503,105.2635432,107.0747361,1
1,4.538057364,1.87656939,6.833723353,0.439120545,1.021639697,0.888659206,109.2383725,122.2679304,123.9727215,1
2,4.417255856,1.921424363,6.820611095,0.456203601,1.021685555,0.879703512,87.94580514,118.5857786,134.2445437,1
3,4.571372475,1.896201286,6.968204219,0.441029371,1.022700767,0.885816639,66.93019651,92.72240432,107.4113048,1
4,4.458195055,1.862094018,6.668195048,0.442340672,1.021438104,0.886251155,64.13447067,89.94459415,103.7502246,1
5,4.681865311,1.879879324,7.065200896,0.429668519,1.017870134,0.894118389,64.04907324,91.10456281,106.3383695,1
6,4.637000267,1.879034815,7.006726421,0.434219778,1.019926254,0.891606193,65.81625361,89.13954554,101.7471886,1
7,4.771230664,1.899699806,7.252408123,0.428805813,1.018996548,0.892733973,66.4332982,89.14672086,101.0609194,1
8,4.68747895,1.941375635,7.305397917,0.441524216,1.020634957,0.88816086,75.99894248,104.1972941,118.2440557,1
9,4.463554703,1.862192375,6.643439238,0.443460611,1.015449992,0.887572578,74.42688803,97.01622312,108.4786553,1
10,4.568755848,1.85699973,6.762407459,0.435263908,1.014940057,0.891116835,78.58418719,102.4262118,113.7706102,1
11,4.536204006,1.846528277,6.730247324,0.436194193,1.019321793,0.890188412,69.25940798,89.59286923,99.90861273,1
12,4.583081856,1.868412199,6.848106479,0.434699309,1.019447825,0.890118101,65.17998246,89.346476,102.4964415,1
13,4.384683679,1.839526049,6.466325417,0.447511162,1.01982734,0.883590366,54.34904469,68.39994579,76.38360838,1
14,4.456629888,1.827795208,6.508808786,0.438442203,1.016545908,0.888175413,54.84334143,69.01657809,77.56623634,1
15,4.425215061,1.838626723,6.513740014,0.441536948,1.01730455,0.887990573,62.51601512,77.25089525,85.06049755,1
16,4.507435446,1.835447408,6.658820073,0.435008644,1.023917096,0.890597073,57.50179853,70.83766085,79.00595231,1
17,4.606593927,1.941979059,7.190127679,0.450409143,1.024995699,0.881728117,88.18013579,106.2885196,116.0280356,1
18,4.3136139,1.809902935,6.244762368,0.445961293,1.016993003,0.883923808,61.39288474,75.84544735,83.24277353,1
19,4.422387833,1.853005005,6.556117374,0.443854172,1.018331511,0.886690952,73.61188513,93.81687454,103.1581609,1
20,5.14282812,1.867432942,7.785633899,0.398346304,1.026915309,0.906523453,69.6110067,91.72424056,104.5080981,2
21,5.178514224,1.906098345,7.9972372,0.401727568,1.027866238,0.905762179,66.48666368,89.50931268,101.5393383,2
22,5.165112237,1.918124271,7.985728656,0.404727754,1.02851846,0.903766237,88.7588437,117.0115018,131.8599919,2
23,4.983675668,1.910468594,7.67072695,0.414434127,1.02597992,0.900135897,74.94778134,99.87803505,113.0174018,2
24,4.993522476,1.898597523,7.625445337,0.411905657,1.026069596,0.901002385,71.23106104,95.9312223,109.9390326,2
25,4.892211201,1.885378367,7.412148577,0.418243234,1.026244287,0.896354678,87.87794999,116.8763227,131.6950584,2
26,4.954249399,1.90136968,7.605101012,0.418141879,1.028024814,0.896165598,68.57465047,92.86041884,106.7509682,2
27,5.013886259,1.888935078,7.601562741,0.41045331,1.022673535,0.898461877,58.14970046,79.16556807,92.24349457,2
28,4.928808402,1.87272505,7.362511687,0.414495397,1.019930258,0.898262138,49.33465548,67.99396892,78.88784535,2
29,5.048315523,1.922256327,7.811031148,0.41390784,1.026365993,0.89944556,84.63619245,112.4934692,127.2743827,2
30,4.96304998,1.920127917,7.698094347,0.425194172,1.025454928,0.889766681,76.60929749,106.6384882,122.3988321,2
31,4.728603997,1.835164159,6.964363807,0.424703725,1.019187859,0.892147705,79.35634154,104.277758,118.2058418,2
32,4.762809998,1.875611671,7.16804573,0.43028625,1.020358396,0.887896737,72.66880159,100.9487275,115.1292197,2
33,4.850305305,1.860448916,7.244024492,0.422258815,1.021877168,0.890603452,79.10707889,109.055753,124.5198427,2
34,4.64832824,1.847791922,6.83712556,0.433862473,1.017689844,0.885292326,60.43643438,88.35110356,102.5608651,2
35,4.879314514,1.927562569,7.555246443,0.431868244,1.024423314,0.887385499,86.31220418,117.016433,132.1961768,2
36,4.91913177,1.876285009,7.423771154,0.420521058,1.022725831,0.893308177,78.86312938,107.1628587,121.425154,2
37,4.751230085,1.877156284,7.154293454,0.431298408,1.02053167,0.887927523,62.55910042,87.05291102,100.9882307,2
38,5.131662412,1.998730113,8.216729564,0.425175271,1.021281988,0.891579287,81.06613565,111.9651152,127.0517373,2
39,5.172220617,2.051624844,8.50827564,0.433244217,1.022481798,0.887349405,80.17019473,109.9486943,124.7588925,2
40,6.323593413,1.981771133,10.33159119,0.338960757,1.040773359,0.934168098,82.69115514,109.2260007,120.7857357,3
41,6.204843753,2.062212542,10.45372991,0.358728074,1.03204139,0.926674841,65.49509842,88.64913606,103.215608,3
42,6.214720601,1.972713166,10.103896,0.345613422,1.037363965,0.931177375,81.76633133,110.2253553,127.2714355,3
43,6.22433074,2.051477076,10.44185814,0.359496651,1.033653311,0.925123702,85.65266703,110.3169131,125.4964838,3
44,6.115849004,2.029379519,10.18420478,0.36108329,1.034132606,0.925140802,88.74288124,112.5226023,126.1746431,3
45,6.5051201,2.005215122,10.67665912,0.334682846,1.036774417,0.935095756,96.21601161,114.7226131,121.6842705,3
46,6.292201104,2.020185973,10.38697154,0.352962848,1.0348043,0.925877719,94.1211769,114.5424877,124.0338919,3
47,6.602469244,2.053824008,11.06568073,0.336714746,1.032888054,0.934638355,94.05501578,114.5609579,124.3759818,3
48,6.132923401,1.845472608,9.258587445,0.330207676,1.031365336,0.936314009,47.83233608,66.9950831,77.56553985,3
49,6.1732728,1.920742521,9.693250608,0.339633153,1.03724883,0.932144826,88.83725831,111.0991691,120.8536289,3
50,6.077015989,1.916575253,9.549863965,0.345105007,1.037436782,0.93037415,80.84063582,105.5276394,117.3133665,3
51,5.872715585,1.900849888,9.043754204,0.352642577,1.029674945,0.927886674,72.74797566,92.67255737,103.0905776,3
52,5.990863637,1.919302447,9.450821547,0.350940378,1.036413309,0.928102492,87.11883359,110.631943,121.7290481,3
53,5.983101471,1.916121241,9.32933804,0.350926012,1.032360969,0.927238259,85.45896292,106.853493,117.521266,3
54,5.799518137,1.905715084,8.952263639,0.364181661,1.027008064,0.92033037,78.61091233,103.5232273,116.9555204,3
55,6.294129137,1.935185885,9.913792202,0.334835043,1.035224268,0.934095517,86.10161673,112.9819341,126.6725794,3
56,6.367380991,1.92485929,9.984134374,0.332182881,1.037277618,0.934392083,73.88084816,95.76585215,107.0705241,3
57,6.081944596,1.940345185,9.565516559,0.350900081,1.02589788,0.928093313,66.95601161,87.07079011,97.07633793,3
58,6.269464847,1.916642299,9.80125205,0.33194261,1.034192994,0.936835642,78.17003372,104.8078766,118.7304981,3
59,6.128845353,1.939453655,9.70672523,0.347381272,1.035481171,0.929675982,80.33289439,106.9062905,121.7556979,3
60,6.463881733,1.810491482,9.553594185,0.299917576,1.029301689,0.949233155,66.291333,92.61753356,99.42890647,4
61,6.593019303,1.847373483,9.987841235,0.299244368,1.033347879,0.949374593,79.59063564,108.5039895,116.3089815,4
62,6.51697554,1.780534271,9.533500132,0.288630172,1.036552975,0.953743367,83.34444204,114.6113675,121.5730892,4
63,6.688568016,1.829780169,10.03874267,0.291156508,1.031004526,0.952430494,64.17552675,94.11489243,100.1952095,4
64,7.127820069,1.856554148,10.87691515,0.269744726,1.034858354,0.960624263,75.56219017,103.4340576,110.4234845,4
65,6.613017349,1.863657552,10.10338976,0.297773821,1.028913249,0.95082566,81.04479335,114.2257172,121.6855831,4
66,7.010219602,1.878655139,10.84281475,0.282451084,1.034348863,0.955840376,72.05962528,102.2753909,108.5204864,4
67,6.630151199,1.756389145,9.585778314,0.279320036,1.034906114,0.956870009,63.79319613,92.74809218,99.81965917,4
68,6.552122935,1.841673276,9.94115819,0.300541482,1.035873128,0.948934839,90.27108187,114.5887218,123.0713407,4
69,6.816476276,1.875765398,10.5482159,0.289600433,1.038499914,0.953858552,83.1730142,109.2891522,117.7674909,4
70,6.612926733,1.807562147,9.823072803,0.292324868,1.037384046,0.951667998,64.91383312,94.04104814,100.2078735,4
71,7.004946097,1.881142518,10.87350387,0.279767393,1.037914403,0.957679414,83.50368463,107.3070211,113.7606006,4
72,6.722897615,1.894534123,10.48643504,0.299335728,1.038727839,0.949763971,94.11287626,120.6334964,127.5163329,4
73,6.771046335,1.777225175,9.873339058,0.277783685,1.033136291,0.956987266,64.16411587,90.84920284,98.53355727,4
74,6.852209815,1.807707229,10.21414155,0.27864584,1.035841972,0.956790677,85.96980796,109.8765367,118.5613818,4
75,7.190162942,1.861132361,11.00037997,0.267664958,1.036636532,0.961241394,69.88733573,98.09204565,106.012163,4
76,6.981847111,1.806981379,10.34273169,0.272583391,1.035169204,0.958401682,66.4489171,94.56601549,101.7627098,4
77,7.054401161,1.812559544,10.4692589,0.267553067,1.034508852,0.961127711,62.21422039,91.77888547,98.98476044,4
78,6.729089346,1.810735882,9.935517655,0.282312419,1.029892081,0.956148108,69.10436837,96.64299749,103.3264507,4
79,7.33973503,2.034800727,12.3232756,0.295749675,1.036190313,0.950562079,90.61226179,117.1565064,123.9404898,4
80,7.444002014,1.824882162,11.08618331,0.247251838,1.033838273,0.96840657,66.33613945,96.63622225,104.666801,5
81,7.265940607,1.846925168,11.02797272,0.256919449,1.038373661,0.96569681,79.4358653,110.5516316,119.0356554,5
82,7.203638287,1.809954923,10.68961846,0.254682124,1.035105248,0.96623913,84.86238522,118.2486982,126.4052679,5
83,7.20513443,1.822320308,10.64843363,0.2553972,1.034444867,0.964344012,74.1530699,111.2377589,117.4373898,5
84,7.251489954,1.817063542,10.69314463,0.252128684,1.033490692,0.966657997,71.33431038,106.4465192,113.1439111,5
85,7.315923896,1.808277516,10.82564252,0.24933065,1.033131714,0.967874109,58.40101909,86.43385126,93.10077102,5
86,7.495205095,1.832316274,11.26344901,0.246047796,1.035734085,0.968866051,68.14473927,95.27501545,103.5555984,5
87,7.075498423,1.741731964,10.11627907,0.248623624,1.035573395,0.968037051,60.27159573,90.06979233,96.20852764,5
88,7.214797386,1.788885225,10.60225017,0.251092455,1.03665595,0.967255935,74.08425129,104.6983078,110.6355548,5
89,7.19053185,1.780487045,10.51234446,0.251189984,1.036325083,0.96706736,72.7811415,103.7206144,111.4385822,5
90,7.183797315,1.781148296,10.50078982,0.250665407,1.03558949,0.967423605,62.08160641,92.2177683,98.73745239,5
91,7.034738464,1.747901083,10.12068751,0.251152695,1.032731072,0.967300687,81.0960824,107.4322327,115.8810637,5
92,7.386713449,1.841476496,11.21783618,0.251302563,1.042624818,0.967333313,80.38012409,109.6722471,117.7664728,5
93,7.249718623,1.801698037,10.73568716,0.250496247,1.039254755,0.967605492,69.97679083,101.3664397,108.3808038,5
94,7.284481757,1.806026618,10.84374382,0.249530692,1.04095658,0.967862351,91.97726472,123.0406831,131.170126,5
95,7.447685367,1.845032965,11.28042044,0.249376671,1.036209546,0.967930176,85.2341488,113.8112107,121.1337753,5
96,7.115434493,1.770297229,10.30455462,0.252452912,1.034350899,0.966699331,64.25947052,95.17858727,101.5133068,5
97,7.127968462,1.788684772,10.40125783,0.254703232,1.033460195,0.966114022,59.29248877,86.49443193,92.83481169,5
98,6.93090791,1.757802151,9.986122175,0.256786189,1.03720559,0.965650434,66.17839836,97.98408817,104.7819172,5
99,7.253983843,1.787907052,10.63560417,0.249365343,1.037658377,0.967718542,58.14500745,87.8626467,94.55572479,5
