,length,breadth,area,lbr,chalk,ecc,b,g,r,class
0,4.21620195,1.6988768,5.609902648,0.434887904,0.996392661,0.883039604,125.2080789,143.440241,152.1644735,4
1,4.346437597,1.66824955,5.764627285,0.410570217,1.007931012,0.897825378,112.267291,129.4256668,136.2642354,4
2,4.349592631,1.672843413,5.774581,0.409931672,1.007055996,0.897080176,111.0713423,127.1545888,135.486147,4
3,3.914596634,1.639049531,5.112240998,0.45971043,1.006669997,0.864873045,111.6427358,126.7045369,132.9501363,4
4,4.467603915,1.723804148,6.132808082,0.413017521,1.007592603,0.899073234,112.2489578,129.0759117,134.3911736,4
5,4.408314629,1.733666848,6.053695123,0.423549184,1.004116061,0.890609595,116.6015565,128.5823148,133.9870037,4
6,4.425555965,1.73581504,6.080148914,0.421853164,1.003262707,0.890429374,116.6257811,128.6795446,134.2111619,4
7,4.406484298,1.86191202,6.543168215,0.447012286,1.009998978,0.881037222,82.42657397,99.37866133,101.0137236,4
8,4.501869532,1.793499949,6.371846188,0.425428147,0.999053356,0.890868681,112.9524578,131.6213599,133.7722899,4
9,4.106479371,1.663990263,5.417082296,0.437733517,1.006239234,0.880296182,111.7056814,128.5389701,133.7280909,4
10,4.285958508,1.732719922,5.896464618,0.437736693,1.006944863,0.881747087,115.2539614,134.8533888,138.6993259,4
11,4.059775607,1.618549706,5.226551759,0.433814404,1.008542231,0.880196345,118.610981,137.4952141,136.7382072,4
12,4.105160588,1.762089711,5.711074874,0.46630278,1.005976177,0.86109047,116.274733,133.0997072,132.4662934,4
13,4.277617138,1.724346619,5.815176662,0.433053386,1.004536209,0.882029956,114.4073233,132.7099106,132.9265731,4
14,4.207655305,1.699459352,5.656683884,0.432123817,1.003094919,0.887459739,80.87293683,100.5874403,102.0503053,4
15,4.416993052,1.851454741,6.478673028,0.454765349,1.008685796,0.867855445,98.93330936,117.9744466,117.8960204,4
16,4.184464862,1.762224854,5.827744345,0.460534063,1.008009443,0.861790978,97.43624914,115.9595022,115.2525562,4
17,4.379401921,2.000677707,6.863874794,0.492865387,1.001176442,0.836158562,107.958088,128.7899237,128.0002179,4
18,4.033066003,1.670633455,5.303806693,0.455409812,1.000183479,0.864215961,94.5751916,113.5795352,114.106743,4
19,4.203789882,1.754652409,5.833990329,0.452171203,1.003752732,0.870174592,108.938467,129.5476185,130.6479126,4
