,length,breadth,area,lbr,chalk,ecc,b,g,r,class
0,2.896872631,1.636970408,3.779630721,0.618147528,1.015107608,0.736293792,128.7857039,139.3905989,140.0191859,1
1,2.97911481,1.732385958,4.078707116,0.63333349,1.007207014,0.724328298,130.9142817,142.2516607,149.5460307,1
2,2.840558194,1.666017665,3.738497885,0.636781257,1.006180459,0.720193681,136.3842327,148.0662872,155.6165852,1
3,2.904596812,1.718415897,3.948645924,0.640323163,1.007860899,0.717247864,132.4401305,142.9640536,150.6275435,1
4,2.876025419,1.76987668,4.058600087,0.659971327,1.014783217,0.703385351,183.3723531,213.7346358,215.4441653,1
5,2.845939187,1.706247589,3.856619813,0.649405798,1.012105651,0.704067871,111.9551651,119.6122863,116.1487529,1
6,2.912753484,1.620584329,3.714877772,0.609625369,1.002221803,0.747260616,113.9221436,123.7227485,120.8271654,1
7,3.052133594,1.753939208,4.207642874,0.622213436,1.000280886,0.736498863,153.6312119,159.8149567,146.8831622,1
8,2.958248043,1.750799073,4.085630572,0.638412977,1.004583713,0.720588969,169.7198697,180.1724316,173.1829844,1
9,2.957176704,1.743100475,4.072238636,0.637242953,1.006185773,0.723223594,170.8901485,181.8918004,175.5162583,1
10,2.85594121,1.7335391,3.918297412,0.650472127,1.007423616,0.71337332,133.846892,144.7174814,141.0962773,1
11,2.9934025,1.799195133,4.256884073,0.648509048,1.006875304,0.710590579,173.1961095,183.7047798,167.2489651,1
12,2.909103269,1.767344485,4.065141798,0.654007444,1.005931613,0.708860286,193.4447365,186.4089871,171.2679422,1
13,3.096480653,1.885618956,4.612223403,0.655269608,1.007286064,0.70648091,126.8945501,137.9347558,132.11971,1
14,3.156682818,1.958319048,4.88563172,0.668043813,1.006801305,0.691517162,199.352068,209.9717353,197.1671669,1
15,2.872163656,1.765593559,4.020714946,0.665836363,1.012675503,0.687242862,170.1335527,173.6202636,169.6118346,1
16,2.894749185,1.79326257,4.110606212,0.665802224,1.008517382,0.692508227,180.5311264,187.2976812,178.1335303,1
17,3.030268184,1.750173871,4.226737456,0.627180567,1.012900282,0.733863855,204.6243281,210.5559491,200.5596584,1
18,2.880381776,1.72568067,3.94603166,0.645952493,1.008141204,0.709589848,208.4918076,211.5936081,207.4883879,1
19,3.024117659,1.81717121,4.364026624,0.649261738,1.01083403,0.706919154,190.5717289,195.9551177,188.2652571,1
20,3.14137576,1.520562628,3.776007708,0.540679531,1.012542915,0.798675995,93.20736208,108.0769508,108.5693464,2
21,3.187480968,1.563995688,3.965085668,0.546161136,1.008426332,0.799791946,104.4960533,118.0632464,119.6896758,2
22,3.176857075,1.603873749,4.058534184,0.560201896,1.011396619,0.789171552,149.3036128,177.37822,187.2450854,2
23,3.235910029,1.687577189,4.323380367,0.572247749,1.005398719,0.784076112,142.2526338,151.1295022,153.5061345,2
24,2.86681517,1.630083073,3.665906708,0.616169064,0.998301071,0.747086311,140.3828227,148.6810203,150.3091084,2
25,3.645402254,1.715381289,4.932640454,0.521795194,0.99768521,0.81942352,127.512319,136.1385248,135.7830295,2
26,3.166005264,1.555523307,3.893006179,0.548335243,1.005418285,0.795160142,104.5361686,115.3066497,117.7342761,2
27,3.035853824,1.545935778,3.739305327,0.565483263,1.010287007,0.785072011,127.6135527,141.9746354,143.5367591,2
28,3.1086975,1.558290485,3.844756222,0.563941045,1.007981647,0.781070592,100.2264014,114.1833845,115.6359615,2
29,2.957427457,1.485028002,3.49873711,0.557536418,1.011144777,0.795366121,115.8543015,126.5446197,131.5666875,2
30,3.005749513,1.458742109,3.482369987,0.541166302,1.010215893,0.806895976,119.5414644,130.743365,134.8849076,2
31,3.132964434,1.483003549,3.706157299,0.5307571,1.01194182,0.813157234,114.2382187,126.2976992,131.3232688,2
32,3.30373483,1.55622219,4.098952247,0.527518656,1.010899557,0.80949547,122.0762048,134.915494,138.7587975,2
33,3.005307942,1.478128445,3.53287313,0.551466873,1.00890297,0.791094279,117.7580531,129.2110638,132.3401311,2
34,3.063934204,1.498469522,3.656804754,0.54814207,1.012271652,0.796748271,115.7440623,129.7566986,132.3127122,2
35,3.271578278,1.532558041,3.991966149,0.527409131,1.010369231,0.810015848,119.8637334,134.4469181,138.4848313,2
36,3.418462798,1.568212899,4.265242467,0.514753972,1.006545229,0.823909512,118.4666823,135.808532,138.0600608,2
37,3.35736491,1.544004898,4.126836849,0.517855171,1.007543587,0.819708529,102.0064789,116.4104328,118.8141111,2
38,3.105372254,1.494514029,3.70116404,0.541489722,1.011412953,0.800253258,112.2256256,128.7048846,130.6075813,2
39,3.341383703,1.621590367,4.303770116,0.542392511,1.004433095,0.805177575,117.6364707,126.6583552,129.6981807,2
40,3.756256739,1.676266701,4.99089751,0.502027327,1.003303152,0.825596824,124.6895934,141.9083143,142.9229362,3
41,3.865048965,1.649639307,5.085347477,0.475970614,1.008840881,0.84715671,115.9497013,135.5143255,136.5865996,3
42,3.709250592,1.753443429,5.14903765,0.529673895,1.004982372,0.807163642,101.1678782,118.966392,119.8527181,3
43,3.48496289,1.606971286,4.440835748,0.520473642,1.006182991,0.81308065,117.6725235,134.1597151,137.2334912,3
44,3.522074648,1.641690822,4.612477011,0.523034268,1.012256824,0.815986311,113.1574362,130.6562637,129.788351,3
45,3.761786302,1.725929473,5.163251306,0.513374319,1.010165008,0.823625777,99.87603199,117.237264,117.4766891,3
46,3.890195846,1.708884131,5.269615945,0.490295566,1.007610359,0.841367234,100.0089867,116.580163,116.3819715,3
47,4.099690206,1.79774559,5.860208333,0.488316245,1.008266636,0.838262072,111.2548352,129.451014,129.3268589,3
48,3.838250049,1.696105341,5.184368111,0.489175535,1.007920283,0.846310791,86.33968139,100.2358877,108.6746397,3
49,3.780302282,1.691729269,5.112733158,0.497479307,1.009347933,0.839261349,105.5349874,123.9351052,124.1628882,3
50,3.650328145,1.585539849,4.59439709,0.483940741,1.004401946,0.847596265,102.1319726,117.9614107,119.7262415,3
51,4.09283761,1.686442783,5.455127902,0.453239388,1.005189569,0.866696902,108.8040263,126.4745266,127.4576434,3
52,4.200527877,1.782730882,5.965915616,0.474001171,1.013609312,0.847461563,94.96555427,110.5467945,111.6559722,3
53,4.089839466,1.76721605,5.708338729,0.478336718,1.00256802,0.85052345,106.5985583,123.3619387,125.2815097,3
